store_id,latitude,longitude,store_location,province_id_original,district_id,ward_id,is_store_virtual,open_hour,province_id,province_name,ward_id,store_id
3802,10.896175,106.68916,"BHX 962 Hà Huy Giáp (53/3A Hà Huy Giáp, Khu Phố 2, P. Thạnh Lộc, Q. 12 (Ngay ngã ba Chợ Đường))",3,27,10265,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10265,3802
2214,10.808006,106.62918,"BHX 63 Nguyễn Đỗ Cung (63 Nguyễn Đỗ Cung, P. Tây Thạnh, Q. Tân Phú)",3,33,10344,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10344,2214
3624,10.84927,106.65041,"BHX 278 Phạm Văn Chiêu (278 Phạm Văn Chiêu, P.9, Q. Gò Vấp  (Cạnh Điện Máy Xanh))",3,29,10296,False,6 giờ - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10296,3624
3646,10.795373,106.66218,"BHX 8 Dương Vân Nga (8 Dương Vân Nga, P. 3, Q. Tân Bình (Sau lưng chợ Phạm Văn Hai))",3,30,10304,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10304,3646
3647,10.74314,106.72633,"BHX 49 Lý Phục Man (49 Lý Phục Man, Phường Bình Thuận, Quận 7, Thành Phố Hồ Chí Minh, Việt Nam)",3,22,10188,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10188,3647
3668,10.78848,106.77737,"BHX 602 Nguyễn Duy Trinh (602 Nguyễn Duy Trinh , Khu phố 2, Phường Bình Trưng Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam)",3,2087,27126,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,27126,3668
3669,10.801307,106.58687,"BHX 43A Bình Thành (43A Bình Thành, P. Bình Hưng Hòa B, Q. Bình Tân (Ngay chợ Bình Thành Mới))",3,31,10316,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10316,3669
3652,10.753805,106.69494,"BHX 25 Nguyễn Khoái (25 Nguyễn Khoái, Phường 01, Quận 4, Thành phố Hồ Chí Minh, Việt Nam)",3,19,10144,False,6 giờ - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10144,3652
3673,10.706682,106.62289,"BHX 3425 Phạm Thế Hiển (3425-3427 Phạm Thế Hiển, Phường 7, Quận 8, Thành Phố Hồ Chí Minh, Việt Nam)",3,23,10211,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10211,3673
2099,10.814608,106.58887,"BHX 423 Bình Thành (423 Bình Thành, P. Bình Hưng Hòa B, Q. Bình Tân)",3,31,10316,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10316,2099
2103,10.810127,106.60099,"BHX 14 Đường số 2 (14 Đường Số 2, P. Bình Hưng Hòa, Q. Bình Tân)",3,31,10314,False,6 giờ - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10314,2103
3712,10.859635,106.77829,"BHX 42 Lê Văn Chí (40-40A-42-44 Lê Văn Chí, Khu phố 1, Phường Linh Trung, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam)",3,2087,27100,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,27100,3712
3713,10.745009,106.71358,"BHX Số 2-2A Đường số 17 (Số 2-2A Đường số 17, Phường Tân Kiểng, Quận 7, Thành phố Hồ Chí Minh (Ngay ngã ba Đường Số 17 - Mai Văn Vĩnh (góc chợ Chiều đường số 17)))",3,22,10192,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10192,3713
191,10.801733,106.61057,"BHX 393 Hương Lộ 3 (393 Hương Lộ 3, P. Bình Hưng Hòa, Q. Bình Tân (Đối diện chung cư Celadon City Tân Phú))",3,31,10314,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10314,191
2109,10.85901,106.623604,"BHX 110 Đường TCH36 (110 Tân Chánh Hiệp 36, P. Tân Chánh Hiệp, Q. 12)",3,27,10261,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10261,2109
2111,10.767107,106.62547,"BHX 138 Lý Thánh Tông (138 Lý Thánh Tông, P. Hiệp Tân, Q. Tân Phú)",3,33,10334,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10334,2111
2337,10.832556,106.56172,"BHX C5/5E Dân Công Hỏa Tuyến (C5/5E Dân Công Hỏa Tuyến, Vĩnh Lộc A, H. Bình Chánh)",3,36,10387,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10387,2337
2113,10.778609,106.57322,BHX A9/13 Đường 1A (Vĩnh Lộc B),3,36,10388,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10388,2113
2115,10.778427,106.57428,"BHX A8/17 Đường 1A (A8/17 Đường 1A, Ấp 1, Xã Vĩnh Lộc B, H. Bình Chánh)",3,36,10388,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10388,2115
2882,10.880107,106.6385,"BHX 22I-22I/2 Hiệp Thành 13 (22i Hiệp Thành 13, P. Hiệp Thành, Q. 12 (Cách cổng chợ Hiệp Thành 200m))",3,27,10260,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10260,2882
2900,10.681028,106.61194,BHX 222B/7DGV Ấp 2 (An Phú Tây),3,36,10374,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10374,2900
1933,10.797044,106.63782,"BHX 871 Âu Cơ (871 Âu Cơ, P. Tân Sơn Nhì, Q. Tân Phú)",3,33,10341,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10341,1933
1935,10.806209,106.60388,"BHX 146 Đường số 5 (146 Đường Số 5, Khu Phố 8, P. Bình Hưng Hòa, Q. Bình Tân)",3,31,10314,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10314,1935
2579,10.8736,106.65097,"BHX 62A Trần Thị Cờ (62A Trần Thị Cờ, P. Thới An, Q. 12)",3,27,10267,False,6 giờ - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10267,2579
2379,10.831202,106.64248,"BHX 781 Phạm Văn Bạch (781 Phạm Văn Bạch, P. 12 , Q. Gò Vấp)",3,29,10284,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10284,2379
2596,10.784483,106.58644,"BHX B14/12/2-B14A/13A/1L Cây Cám (B14A/13A/1L Cây Cám, Ấp 2C, Xã Vĩnh Lộc B, H. Bình Chánh)",3,36,10388,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10388,2596
2403,10.798812,106.55923,BHX E1/2 Ấp 5 (Vĩnh Lộc B),3,36,10388,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10388,2403
2405,10.840567,106.60425,"BHX 11/3D Bà Điểm 9 (11/3D Bà Điểm 9, ấp Nam Lâm, Xã Bà Điểm, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam)",3,32,10323,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10323,2405
